"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"123",1,1,20,0.6,0.6,0.57479554544469,0.0127814080169191,1,0.546647096098624,0.0186413097361166,1,1,1,21
"124",0,0,20,0.7,0.6,0.301128518889949,0.241875069713049,0,0.233074263878455,0.36364253056212,0,0,0,41
"125",1,0,20,0.7,0.6,0.525177990421196,0.0207126285934289,1,0.324960920547291,0.190634903906844,0,1,0,21
"126",0,1,20,0.7,0.6,0.374044039049239,0.112034961903912,0,0.487529429167521,0.0299133033358245,1,0,1,6
"127",1,1,20,0.7,0.6,0.601468710996408,0.010463608169039,1,0.563494770892286,0.0150547198906954,1,1,1,32
"128",0,0,20,0,0.7,0.0210877418965543,0.569060878030292,0,0.0191899578453409,0.547707625080034,0,0,0,92
"129",1,0,20,0,0.7,0.0196203749097294,0.0180581464687772,1,0.00190147066318687,0.113119186208205,0,1,0,4
"130",0,1,20,0,0.7,0.308512302609069,0.203377805690743,0,0.469652466225819,0.0376371659616935,1,0,1,2
"131",1,1,20,0,0.7,0.0681589088100081,0.025099395173007,1,-0.0474077883738874,0.013184658733578,1,1,1,2
"132",0,0,20,0.1,0.7,0.0703920244575803,0.507095822270495,0,0.0792240746055512,0.488508189551959,0,0,0,90
"133",1,0,20,0.1,0.7,0.238366209367054,0.0408342003411227,1,0.196195230387322,0.17648546172575,0,1,0,4
"134",0,1,20,0.1,0.7,0.0413268487365914,0.186119318014681,0,0.156984379494491,0.0219502483383739,1,0,1,3
"135",1,1,20,0.1,0.7,0.584985816032302,0.0112596596271811,1,0.543344927923118,0.016053941843516,1,1,1,3
"136",0,0,20,0.2,0.7,0.0943563468672438,0.527817149536227,0,0.104838406591865,0.497480359747629,0,0,0,83
"137",1,0,20,0.2,0.7,0.547367752129691,0.0163924439872477,1,0.349470306997487,0.156272888542003,0,1,0,11
"138",0,1,20,0.2,0.7,0.0900166410847053,0.157484543536683,0,0.12206981123808,0.0237537102442324,1,0,1,5
"139",1,1,20,0.2,0.7,0.600941697493925,0.0050750574902565,1,0.655978722087114,0.00168574708517988,1,1,1,1
"140",0,0,20,0.3,0.7,0.149644313870087,0.445276233060032,0,0.121678184964093,0.501710014554342,0,0,0,78
"141",1,0,20,0.3,0.7,0.482456397147787,0.0330614015707429,1,0.339614585440765,0.160816852169947,0,1,0,10
"142",0,1,20,0.3,0.7,0.243039397914842,0.155817637112292,0,0.332761225425306,0.0328487835586044,1,0,1,7
"143",1,1,20,0.3,0.7,0.545846713407701,0.0170782394409506,1,0.523142871550527,0.022704567271572,1,1,1,5
"144",0,0,20,0.4,0.7,0.207710989099418,0.373914683135233,0,0.204826386199033,0.362080560861539,0,0,0,73
"145",1,0,20,0.4,0.7,0.487244454860891,0.0307943736226685,1,0.340255905019244,0.166131385572565,0,1,0,5
"146",0,1,20,0.4,0.7,0.354400760237087,0.131483762318706,0,0.484705215920622,0.035782734212387,1,0,1,9
"147",1,1,20,0.4,0.7,0.534264383116425,0.0199403390377299,1,0.542368396267471,0.0209434853138346,1,1,1,13
"148",0,0,20,0.5,0.7,0.243036684904028,0.339187479004074,0,0.207335800367348,0.37339052526967,0,0,0,52
"149",1,0,20,0.5,0.7,0.510666473138606,0.0253765537330686,1,0.353912027368505,0.143425479838076,0,1,0,23
"150",0,1,20,0.5,0.7,0.34790448084324,0.150510492774592,0,0.50613292635814,0.0258228862147032,1,0,1,7
"151",1,1,20,0.5,0.7,0.543369526348697,0.0200190023144882,1,0.554713325925391,0.0189595639397229,1,1,1,18
"152",0,0,20,0.6,0.7,0.209041477661692,0.416401477591721,0,0.167253315255202,0.478090728283853,0,0,0,48
"153",1,0,20,0.6,0.7,0.522710155224403,0.0216973915807059,1,0.340965709589613,0.165582366249173,0,1,0,12
"154",0,1,20,0.6,0.7,0.386410374849637,0.0936322349066819,0,0.50751113148878,0.0261023955805111,1,0,1,9
"155",1,1,20,0.6,0.7,0.568444612801422,0.0141008932274354,1,0.595114752722251,0.0112114774149708,1,1,1,31
"156",0,0,20,0.7,0.7,0.327521467406396,0.204832037920742,0,0.252474216648122,0.325688445088592,0,0,0,32
"157",1,0,20,0.7,0.7,0.52257436577159,0.0214198445561664,1,0.328864221944385,0.178104959204819,0,1,0,17
"158",0,1,20,0.7,0.7,0.333532425524787,0.156810092350413,0,0.515940795946814,0.0241448740329526,1,0,1,5
